desi,dir,oper,veh,tst,tsi,spd,hdg,lat,long,acc,dl,odo,drst,oday,jrn,line,start,loc,stop,route,occu,event,tst_collected
88,2,22,1359,2025-05-18T12:58:04.251Z,1747573084,7.49,9,60.177228,25.050519,0.05,69,3859,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:04.228315
88,1,22,1366,2025-05-18T12:58:04.751Z,1747573084,7.47,86,60.169166,25.017845,-0.26,178,5685,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:04.728386
88,1,22,1365,2025-05-18T12:58:05.255Z,1747573085,0.69,52,60.195079,25.030842,-0.9,,,0,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:05.232666
88,2,22,1359,2025-05-18T12:58:05.251Z,1747573085,7.18,9,60.177293,25.05054,-0.31,69,3865,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:05.233602
88,1,22,1366,2025-05-18T12:58:05.751Z,1747573085,7.18,87,60.16917,25.017978,-0.29,178,5690,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:05.704758
88,2,22,1359,2025-05-18T12:58:06.250Z,1747573086,6.72,9,60.177355,25.050559,-0.46,69,3870,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:06.263879
88,1,22,1365,2025-05-18T12:58:06.256Z,1747573086,0.11,52,60.195081,25.030846,-0.58,,,1,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:06.265693
88,1,22,1366,2025-05-18T12:58:06.751Z,1747573086,6.89,86,60.169176,25.018105,-0.29,178,5700,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:06.714044
88,2,22,1359,2025-05-18T12:58:07.250Z,1747573087,6.23,9,60.177412,25.050579,-0.49,69,3880,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:07.237188
88,1,22,1365,2025-05-18T12:58:07.256Z,1747573087,0.05,52,60.195081,25.030847,-0.07,,,1,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:07.238918
88,1,22,1366,2025-05-18T12:58:07.751Z,1747573087,6.29,82,60.16919,25.018222,-0.6,178,5705,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:07.670176
88,1,22,1365,2025-05-18T12:58:08.255Z,1747573088,0.03,52,60.195081,25.030848,-0.02,,,1,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:08.291977
88,2,22,1359,2025-05-18T12:58:08.250Z,1747573088,5.74,9,60.177465,25.050595,-0.49,69,3885,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:08.293671
88,1,22,1366,2025-05-18T12:58:08.751Z,1747573088,5.5,73,60.169212,25.018324,-0.79,178,5710,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:08.704889
88,2,22,1359,2025-05-18T12:58:09.251Z,1747573089,5.26,9,60.177514,25.05061,-0.47,69,3890,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:09.294198
88,1,22,1365,2025-05-18T12:58:09.257Z,1747573089,0.01,52,60.195081,25.030849,-0.02,,,1,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:09.295549
88,1,22,1366,2025-05-18T12:58:09.751Z,1747573089,4.8,60,60.169243,25.018402,-0.7,178,5720,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:09.671010
88,2,22,1359,2025-05-18T12:58:10.251Z,1747573090,4.79,9,60.177558,25.050624,-0.47,69,3895,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:10.184824
88,1,22,1365,2025-05-18T12:58:10.256Z,1747573090,0.01,52,60.195081,25.030849,-0.0,,,1,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:10.189891
88,1,22,1366,2025-05-18T12:58:10.751Z,1747573090,4.37,46,60.169272,25.018461,-0.43,178,5725,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:10.872478
88,1,22,1365,2025-05-18T12:58:11.255Z,1747573091,0.0,52,60.195081,25.030849,-0.01,,,1,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:11.199688
88,2,22,1359,2025-05-18T12:58:11.250Z,1747573091,4.33,9,60.177598,25.050636,-0.46,69,3900,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:11.209290
